"Environment and Climate Change Canada"
"Monthly Values for June - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"HANEY UBC RF ADMIN","49.264","-122.573","BC","15.8","1","0.8","33.0","1","5.5","1","0.0","1",NA,"147.8","1",NA,"0.0","13","","",NA,"80.1","16.4","1103332"
"MISSION WEST ABBEY","49.153","-122.271","BC","16.2","1","0.9","32.0","1","6.5","1","0.0","1",NA,"67.0","1",NA,"0.0","9","","",NA,"76.2","25.4","1105192"
"RICHMOND OPERATIONS CENTRE","49.182","-123.078","BC","",,NA,"",,"",,"",,NA,"60.9","0",NA,"","9","",,NA,"","","1105210"
"N VANC GROUSE MTN RESORT","49.381","-123.078","BC","8.2","14","-1.8","24.0","14","-1.0","14","5.0","14",NA,"84.6","14",NA,"0.0","8","","",NA,"156.8","0.5","1105658"
"N VANCOUVER WHARVES","49.315","-123.115","BC","",,NA,"",,"",,"0.0","2",NA,"94.0","2",NA,"0.0","10","","",NA,"","","1105669"
"PITT MEADOWS CS","49.208","-122.690","BC","16.9","0",NA,"32.5","0","6.2","0","",,NA,"73.8","0",NA,"","12","",,NA,"55.7","23.4","1106178"
"POINT ATKINSON","49.330","-123.265","BC","16.2","0",NA,"24.9","0","7.5","0","",,NA,"130.1","0",NA,"","14","",,NA,"63.9","10.3","1106200"
"RICHMOND DALLYN 2","49.179","-123.087","BC","",,NA,"",,"",,"0.0","0",NA,"69.2","0",NA,"0.0","7","","",NA,"","","1106764"
"RICHMOND NATURE PARK","49.171","-123.093","BC","16.8","5","0.7","29.0","5","5.0","5","0.0","5",NA,"58.0","5",NA,"0.0","8","","",NA,"40.8","10.5","1106PF7"
"SANDHEADS CS","49.106","-123.303","BC","16.1","0",NA,"25.5","0","9.4","0","",,NA,"",,NA,"","","",,NA,"67.4","9.0","1107010"
"SUMAS CANAL","49.113","-122.110","BC","18.8","19",NA,"28.5","13","8.0","13","0.0","13",NA,"54.6","13",NA,"0.0","8","","",NA,"9.4","17.7","1107785"
"VANCOUVER SEA ISLAND CCG","49.183","-123.187","BC","16.2","0",NA,"25.0","0","6.5","0","",,NA,"43.2","0",NA,"","9","",,NA,"60.8","7.1","1108380"
"VANCOUVER INTL A","49.195","-123.184","BC","16.1","0",NA,"25.2","0","8.0","0","0.0","0",NA,"58.2","1",NA,"0.0","9","",,NA,"61.6","6.0","1108395"
"VANCOUVER HARBOUR CS","49.295","-123.122","BC","16.9","0",NA,"27.6","0","7.8","0","",,NA,"84.1","0",NA,"","11","",,NA,"50.1","16.1","1108446"
"WEST VANCOUVER AUT","49.347","-123.193","BC","16.4","0",NA,"29.5","0","5.7","0","",,NA,"159.9","0",NA,"","11","",,NA,"70.5","21.0","1108824"
"WHISTLER ROUNDHOUSE","50.068","-122.947","BC","6.8","18",NA,"18.0","18","-2.5","18","0.0","26",NA,"23.4","18",NA,"","3","","",NA,"133.9","0.0","1108906"
"WHITE ROCK CAMPBELL SCIENTIFIC","49.018","-122.784","BC","16.3","3",NA,"28.7","3","7.1","0","",,NA,"38.2","3",NA,"","7","",,NA,"55.7","8.8","1108910"
"N VAN SEYMOUR HATCHERY","49.438","-122.967","BC","14.9","3","0.5","33.0","3","5.0","3","0.0","3",NA,"150.6","3",NA,"","14","","",NA,"97.0","14.4","110N666"
"HOPE A","49.368","-121.498","BC","16.8","2",NA,"33.0","2","7.4","2","",,NA,"124.2","2",NA,"","11","",,NA,"58.0","25.2","1113542"
"HOPE AIRPORT","49.370","-121.493","BC","16.7","0",NA,"33.0","0","6.4","0","",,NA,"114.2","0",NA,"","11","",,NA,"63.7","24.6","1113543"
"HOPE SLIDE","49.267","-121.233","BC","13.3","0","0.8","32.5","0","1.5","0","0.0","0","0.0","64.8","0","101.0","0.0","12","","",NA,"149.9","8.5","1113581"
"LILLOOET","50.684","-121.934","BC","20.3","0",NA,"36.2","0","7.8","0","",,NA,"",,NA,"","","",,NA,"19.8","89.3","1114619"
"LYTTON A","50.224","-121.582","BC","19.7","2",NA,"37.6","2","7.7","2","",,NA,"11.3","2",NA,"","3","",,NA,"29.3","77.4","1114738"
"LYTTON RCS","50.224","-121.582","BC","19.7","0",NA,"38.5","0","7.6","0","",,NA,"6.8","0",NA,"","3","",,NA,"29.8","81.1","1114746"
"HEDLEY N","49.364","-120.069","BC","17.6","0",NA,"38.0","0","1.0","0","0.0","0",NA,"57.2","0",NA,"0.0","8","","",NA,"69.8","58.6","1123370"
"JELLICOE","49.673","-120.333","BC","13.4","2",NA,"33.0","2","-2.0","2","0.0","2",NA,"60.4","2",NA,"0.0","9","","",NA,"136.4","8.4","1123721"
"KELOWNA","49.957","-119.378","BC","17.0","1",NA,"35.7","1","0.9","1","",,NA,"38.6","1",NA,"","5","",,NA,"65.4","37.5","1123939"
"KELOWNA UBCO","49.941","-119.400","BC","18.5","2",NA,"36.0","2","3.3","1","",,NA,"37.7","2",NA,"","5","",,NA,"47.2","61.3","1123996"
"KELOWNA MWS0","49.950","-119.400","BC","18.1","5",NA,"36.0","5","2.5","5","",,NA,"45.6","22",NA,"","8","","",NA,"46.4","48.6","11239R0"
"MERRITT","50.113","-120.778","BC","16.0","0",NA,"34.9","0","0.3","0","",,NA,"23.0","0",NA,"","5","",,NA,"87.7","27.1","1125073"
"MERRITT STP","50.114","-120.801","BC","16.9","0","1.0","35.0","0","2.0","0","0.0","0",NA,"28.0","0","77.0","0.0","7","","",NA,"73.5","39.5","1125079"
"OKANAGAN CENTRE","50.056","-119.445","BC","18.8","0","1.0","34.5","0","6.0","0","0.0","0",NA,"42.2","0","97.0","0.0","7","","",NA,"38.6","62.8","1125700"
"OLIVER STP","49.179","-119.545","BC","20.7","12","1.8","37.5","12","4.0","12","",,NA,"22.6","26",NA,"","3","","",NA,"15.3","64.0","1125766"
"OSOYOOS CS","49.028","-119.441","BC","19.5","0","0.3","37.7","0","5.0","0","",,NA,"32.3","0",NA,"","6","",,NA,"37.5","81.9","1125852"
"PEACHLAND","49.783","-119.717","BC","19.1","0","1.2","38.0","0","5.5","0","0.0","0",NA,"46.6","0","111.0","0.0","9","","",NA,"40.3","74.2","1126070"
"PENTICTON A","49.463","-119.602","BC","17.8","1",NA,"37.2","0","1.3","1","0.0","0",NA,"74.0","0",NA,"","8","",,NA,"55.5","50.4","1126146"
"PRINCETON A","49.468","-120.513","BC","15.2","0","0.4","35.0","0","-1.5","0","0.0","0",NA,"27.6","0","73.0","0.0","9","","",NA,"105.2","21.8","1126510"
"VERNON AUTO","50.223","-119.194","BC","18.0","0",NA,"35.5","0","3.5","0","",,NA,"38.4","0",NA,"","10","",,NA,"56.1","55.5","1128582"
"VERNON NORTH","50.344","-119.271","BC","18.5","0","1.1","35.0","0","5.0","0","0.0","0",NA,"46.8","0","94.0","0.0","7","","",NA,"47.6","62.1","1128583"
"VERNON SILVER STAR LODGE","50.359","-119.056","BC","10.7","27",NA,"25.5","27","1.0","27","0.0","27",NA,"3.0","27",NA,"","1","","",NA,"23.4","1.5","1128584"
"WINFIELD","50.037","-119.416","BC","19.9","18","2.6","35.0","18","7.5","18","0.0","18",NA,"16.8","18",NA,"","2","","",NA,"13.0","35.3","1128958"
"PRINCETON CS","49.465","-120.510","BC","15.5","0",NA,"35.8","0","-0.9","0","",,NA,"22.9","0",NA,"","6","",,NA,"101.5","26.6","112FN0M"
"SUMMERLAND CS","49.563","-119.649","BC","18.0","0","0.5","37.2","0","3.0","0","",,NA,"61.6","0",NA,"","9","",,NA,"59.5","60.6","112G8L1"
"MIDWAY","49.004","-118.772","BC","17.5","5","1.7","36.5","5","2.0","5","0.0","5",NA,"57.4","5",NA,"0.0","8","","",NA,"46.0","34.1","1135126"
"BILLINGS","49.017","-118.228","BC","21.2","21","4.5","37.0","21","9.0","21","0.0","21",NA,"2.6","21",NA,"0.0","2","","",NA,"0.4","29.4","1140876"
"CASTLEGAR A","49.296","-117.633","BC","17.8","0","0.9","37.0","0","5.0","0","0.0","0",NA,"102.4","0","142.0","0.0","11","","",NA,"55.1","48.0","1141455"
"CASTLEGAR BCHPA DAM","49.343","-117.774","BC","16.8","2","0.1","35.5","1","5.0","1","0.0","1",NA,"121.8","1",NA,"0.0","12","","",NA,"63.1","30.8","1141457"
"DUNCAN LAKE DAM","50.239","-116.972","BC","15.3","0","0.3","32.5","0","2.5","0","0.0","0",NA,"68.2","0","96.0","0.0","13","","",NA,"100.4","20.2","1142574"
"KASLO","49.913","-116.921","BC","16.5","0","1.1","33.0","0","3.0","0","0.0","0",NA,"73.6","0","96.0","0.0","11","","",NA,"74.9","30.4","1143900"
"NAKUSP CS","50.269","-117.817","BC","16.8","0",NA,"32.7","0","3.5","0","",,NA,"74.6","0",NA,"","11","",,NA,"69.9","34.3","1145297"
"NELSON NE","49.586","-117.206","BC","16.4","0",NA,"32.5","0","3.0","0","0.0","0",NA,"81.8","0",NA,"0.0","9","","",NA,"77.8","29.3","1145442"
"NEW DENVER","49.996","-117.370","BC","16.5","0","0.5","34.0","0","4.0","0","0.0","0",NA,"84.6","0","100.0","0.0","11","","",NA,"81.3","37.3","1145460"
"NELSON CS","49.491","-117.305","BC","17.1","2",NA,"35.1","2","3.4","0","",,NA,"85.4","2",NA,"","11","",,NA,"64.9","39.1","1145M29"
"WARFIELD RCS","49.112","-117.739","BC","17.6","0",NA,"37.2","0","2.1","0","",,NA,"70.7","0",NA,"","14","",,NA,"65.6","54.8","1148705"
"CRESTON CAMPBELL SCIENTIFIC","49.082","-116.501","BC","17.8","0",NA,"34.8","0","4.1","0","",,NA,"36.5","0",NA,"","6","",,NA,"60.8","53.9","114B1F0"
"NELSON RIXEN CREEK","49.512","-117.399","BC","15.9","0",NA,"34.5","0","1.5","0","0.0","0",NA,"104.6","0",NA,"0.0","11","","",NA,"97.9","35.5","114EMDM"
"CRANBROOK A","49.612","-115.782","BC","15.8","1",NA,"33.5","0","-0.1","1","0.0","0",NA,"26.4","0",NA,"","10","",,NA,"101.0","37.6","1152105"
"CRANBROOK AIRPORT AUTO","49.618","-115.789","BC","15.5","0",NA,"33.3","0","-0.6","0","",,NA,"21.8","0",NA,"","6","",,NA,"105.9","31.9","1152106"
"FERNIE","49.489","-115.073","BC","14.8","8","1.2","33.0","8","3.0","8","0.0","8",NA,"44.6","8",NA,"","8","","",NA,"80.0","10.3","1152850"
"FORDING RIVER COMINCO","50.149","-114.855","BC","10.8","26","1.1","26.5","21","-2.5","21","0.0","21",NA,"12.6","21",NA,"0.0","3","","",NA,"28.9","0.0","1152899"
"FT STEELE DANDY CRK","49.524","-115.461","BC","15.3","17",NA,"32.0","10","3.0","10","0.0","10",NA,"28.8","10",NA,"0.0","6","","",NA,"45.0","9.8","1153034"
"KIMBERLEY PCC","49.632","-115.962","BC","15.8","12","1.3","34.0","12","0.5","12","0.0","12",NA,"18.0","12",NA,"0.0","5","","",NA,"59.2","18.9","1154203"
"KOOTENAY NP WEST GATE","50.631","-116.061","BC","16.1","6","0.6","33.0","6","3.0","6","0.0","6",NA,"37.0","6",NA,"0.0","7","","",NA,"70.4","24.4","1154410"
"SPARWOOD","49.745","-114.883","BC","13.6","0","0.9","31.0","0","1.5","0","0.0","0","0.0","18.4","0","27.0","0.0","6","","",NA,"141.4","8.6","1157630"
"SPARWOOD CS","49.745","-114.884","BC","13.5","0",NA,"31.0","0","1.5","0","",,NA,"16.8","0",NA,"","4","",,NA,"142.0","8.3","1157631"
"WASA","49.807","-115.631","BC","15.6","0","0.6","33.0","0","0.5","0","0.0","0",NA,"54.8","0","74.0","0.0","10","","",NA,"101.1","27.9","1158730"
"ASHCROFT","50.708","-121.281","BC","20.5","0",NA,"37.5","0","4.5","0","",,NA,"18.6","0",NA,"","5","",,NA,"21.0","96.5","1160515"
"BLUE RIVER A","52.129","-119.290","BC","14.5","0","0.5","31.5","0","3.0","0","0.0","0",NA,"122.0","0","123.0","0.0","17","","",NA,"111.3","6.9","1160899"
"BLUE RIVER CS","52.129","-119.290","BC","14.5","0",NA,"31.4","0","3.2","0","",,NA,"110.0","0",NA,"","15","",,NA,"111.3","6.8","1160H99"
"BUFFALO LAKE","51.709","-121.083","BC","12.8","2","0.8","29.5","2","-0.5","2","0.0","2",NA,"64.6","2",NA,"0.0","10","","",NA,"145.2","0.3","1161104"
"CLEARWATER AUTO","51.653","-120.082","BC","17.4","0",NA,"34.7","0","3.8","0","",,NA,"32.6","0",NA,"","8","",,NA,"54.4","36.1","1161650"
"CLINTON A","51.266","-121.685","BC","12.0","4",NA,"28.6","4","-2.3","2","",,NA,"21.8","3",NA,"","6","",,NA,"156.2","1.4","1161662"
"CLINTON RCS","51.144","-121.505","BC","14.0","0",NA,"30.3","0","-1.8","0","",,NA,"18.0","0",NA,"","5","",,NA,"132.8","12.0","1161663"
"CRISS CREEK","51.030","-120.728","BC","12.0","2","0.9","28.5","2","-3.5","2","0.0","2",NA,"34.8","2",NA,"0.0","7","","",NA,"168.4","0.0","1162177"
"DARFIELD","51.292","-120.183","BC","17.6","0","1.1","34.0","0","4.5","0","0.0","0",NA,"33.6","0","62.0","0.0","9","","",NA,"52.7","41.5","1162265"
"KAMLOOPS A","50.703","-120.449","BC","19.3","0",NA,"36.4","0","4.2","0","0.0","0",NA,"17.7","0",NA,"","4","",,NA,"34.8","74.0","1163781"
"KAMLOOPS AUT","50.702","-120.442","BC","19.2","0",NA,"36.2","0","5.0","0","",,NA,"15.1","0",NA,"","4","",,NA,"34.6","71.9","1163842"
"100 MILE HOUSE 6NE","51.681","-121.217","BC","13.3","0",NA,"30.0","0","1.0","0","0.0","0",NA,"138.4","0",NA,"0.0","14","","",NA,"147.2","7.4","1165793"
"RED LAKE","50.935","-120.800","BC","13.6","0","1.1","29.0","0","-1.0","0","0.0","0","0.0","30.0","0","43.0","0.0","9","","",NA,"141.5","9.8","1166658"
"SILVER CREEK","50.545","-119.350","BC","16.9","0","0.8","33.5","0","0.5","0","0.0","0",NA,"40.2","0","78.0","0.0","10","","",NA,"67.0","34.5","1167337"
"VAVENBY","51.576","-119.778","BC","16.9","8","1.1","33.5","4","3.0","4","0.0","4",NA,"25.8","4",NA,"0.0","9","","",NA,"43.2","18.0","1168520"
"KAMLOOPS PRATT ROAD","50.630","-120.172","BC","17.0","6",NA,"32.0","6","3.0","6","0.0","6",NA,"18.4","6",NA,"0.0","5","","",NA,"66.7","42.7","116C8P0"
"SALMON ARM CS","50.703","-119.291","BC","17.1","0","-0.5","32.2","0","3.0","0","",,NA,"32.0","0",NA,"","7","",,NA,"61.6","34.8","116FRMN"
"GOLDEN A","51.299","-116.982","BC","15.1","0","0.2","32.0","0","0.5","0","0.0","0","0.0","45.4","0","91.0","0.0","10","","",NA,"103.3","15.1","1173210"
"GOLDEN AIRPORT","51.300","-116.984","BC","15.0","0",NA,"32.1","0","1.0","0","",,NA,"36.5","0",NA,"","11","",,NA,"104.2","14.1","1173220"
"GOLDSTREAM RIVER","51.630","-118.425","BC","18.1","0","3.5","36.0","0","-2.0","0","0.0","0",NA,"77.0","0","102.0","0.0","17","","",NA,"33.0","35.5","1173242"
"MICA DAM","52.053","-118.585","BC","15.0","2","0.2","31.0","1","3.5","1","0.0","1",NA,"64.2","1",NA,"0.0","10","","",NA,"91.7","7.1","1175122"
"REVELSTOKE A","50.967","-118.183","BC","17.7","9",NA,"34.1","9","7.9","8","",,NA,"57.8","9",NA,"","6","",,NA,"38.7","32.8","1176745"
"REVELSTOKE AIRPORT AUTO","50.958","-118.176","BC","16.7","0",NA,"33.7","0","4.0","0","",,NA,"78.3","0",NA,"","12","",,NA,"75.5","35.1","1176755"
"YOHO PARK","51.443","-116.345","BC","10.2","0",NA,"27.1","0","-3.0","0","",,NA,"89.0","0",NA,"","15","",,NA,"233.3","0.0","11790J1"
"YOHO NP EMERALD LAKE","51.433","-116.541","BC","",,NA,"",,"-4.0","1","0.0","1",NA,"37.8","1",NA,"0.0","13","","",NA,"","","117R00G"
"YOHO NP OHARA LAKE","51.356","-116.337","BC","7.7","4",NA,"25.0","4","-3.0","4","2.0","4",NA,"123.0","4",NA,"0.0","19","","",NA,"267.4","0.0","117R00H"
"CHETWYND A","55.687","-121.627","BC","15.0","0","1.7","28.5","0","2.5","0","0.0","0",NA,"229.6","0","304.0","0.0","11","","",NA,"91.9","3.3","1181508"
"DAWSON CREEK A","55.742","-120.183","BC","14.6","5",NA,"27.6","5","3.1","5","",,NA,"168.2","5",NA,"","10","",,NA,"87.5","2.2","1182289"
"FORT ST. JOHN A","56.238","-120.740","BC","14.9","0",NA,"27.3","0","4.1","0","0.0","1",NA,"91.8","1",NA,"","9","",,NA,"95.4","3.0","1183001"
"MACKENZIE","55.299","-123.133","BC","14.0","0",NA,"28.5","0","3.2","0","",,NA,"0.0","0",NA,"","0","",,NA,"122.7","3.3","1184791"
"MACKENZIE AIRPORT AUTO","55.305","-123.138","BC","14.3","0",NA,"29.0","0","3.3","0","",,NA,"87.0","0",NA,"","12","",,NA,"116.5","4.2","1184793"
"SIKANNI CHIEF","57.250","-122.718","BC","12.4","13",NA,"25.5","13","1.0","13","0.0","13",NA,"64.8","13",NA,"","9","","",NA,"94.9","0.0","1187335"
"DEASE LAKE A","58.422","-130.031","BC","12.8","3",NA,"25.4","3","-1.4","2","",,NA,"15.5","2",NA,"","5","",,NA,"141.6","0.0","1192341"
"FORT NELSON A","58.836","-122.597","BC","16.9","0",NA,"30.3","0","5.0","0","0.0","0",NA,"107.0","0",NA,"","12","",,NA,"54.3","21.5","1192946"
"FORT NELSON","58.841","-122.574","BC","17.3","0",NA,"30.0","0","5.5","0","",,NA,"90.4","0",NA,"","10","",,NA,"47.0","24.9","1192948"
"FORT NELSON UA","58.841","-122.573","BC","17.4","2",NA,"30.5","2","6.0","2","0.0","2",NA,"104.8","2",NA,"0.0","11","","",NA,"42.0","25.1","1192950"
"DEASE LAKE (AUT)","58.426","-130.025","BC","12.6","0",NA,"25.3","0","-1.7","0","",,NA,"15.8","0",NA,"","5","",,NA,"161.0","0.0","119BLM0"
"ATLIN","59.567","-133.700","BC","13.1","2","1.8","24.5","2","4.0","2","0.0","2",NA,"11.4","2",NA,"0.0","5","","",NA,"137.6","0.0","1200560"
"PLEASANT CAMP","59.450","-136.367","BC","13.7","0","1.4","28.5","0","3.0","0","0.0","0",NA,"30.8","0","82.0","0.0","6","","",NA,"130.5","1.5","1206197"
